,1628.00 < CaseId <==0,835.75 < CaseId <==8,Archive=1,CaseId <=5,CaseId >=0,Contact Hospital=0,Contact Hospital=1,Create Questionnaire=1,Decide Claim=1,High Insurance Check=0,High Insurance Check=1,High Medical History=0,High Medical History=1,Low Insurance Check=0,Low Insurance Check=1,Low Medical History=0,Low Medical History=1,Notify by Phone=0,Notify by Phone=1,Notify by Post=0,Notify by Post=1,Notify by e-mail=0,Notify by e-mail=1,Prepare Notification Content=1,Receive Questionnaire Response=0,Receive Questionnaire Response=1,Register=1,Send Notification by Phone=0,Send Notification by Phone=1,Send Notification by Post=0,Send Notification by Post=1,Send Notification by e-mail=0,Send Notification by e-mail=1,Send Questionnaire=1,Skip Questionnaire=0,Skip Questionnaire=1,pr=t
92,0.0,0.0,0.0,0.0,3.6285812764094046e-32,9.465924939159591e-32,0.0,0.0,0.0,6.329552472385304e-32,0.0,1.315611574252406e-31,0.0,0.0,1.1197390476050178e-31,0.0,8.798967844491086e-32,-4.190513512369199e-33,0.0,-8.339852473254927e-33,0.0,0.0,5.174364870416993e-32,0.0,6.105905224968321e-32,0.0,0.0,3.167757313348971e-32,0.0,1.766397324647883e-32,0.0,0.0,5.63530455423861e-32,0.0,0.0,5.722911336843643e-32,0
93,0.0,0.0,0.0,0.000549720689408733,0.0,0.0003158365271529574,0.0,0.0,0.0,-0.0004976791641783799,0.0,9.423928504924054e-05,0.0,0.0,-0.00010210575211629643,0.0,0.0002973762585484653,-0.0002716600663424676,0.0,-0.000308865158138126,0.0,0.0,-0.0003534168479184376,0.0,0.0001114488658177981,0.0,0.0,-0.00025975560247802875,0.0,-9.384677110798149e-05,0.0,0.0,-0.00031140750084750516,0.0,0.0,0.0001324265237789834,0
94,0.0,4.376271042661162e-06,0.0,0.0,0.0,0.00019686973499494025,0.0,0.0,0.0,4.181279846293515e-06,0.0,2.0065017885654075e-06,0.0,0.0,-5.9387819439183294e-06,0.0,0.00018447845388989975,2.189105462691425e-05,0.0,-0.00018611622275757335,0.0,0.0,-0.00019448800411139375,0.0,0.0,4.562808143236922e-06,0.0,-1.4677719454812842e-05,0.0,-1.630666515814935e-06,0.0,0.0,0.00019572677596165543,0.0,-0.00020170613818463852,0.0,0
95,0.0,0.0,0.0,0.0,0.0001431057363776838,-0.0001895381638303565,0.0,0.0,0.0,-0.0002444586116326913,0.0,-5.64974513943144e-06,0.0,0.0,0.00042670727113509926,0.0,-0.00040412395861604233,0.0,-0.00038067737354019265,0.00040169758330976763,0.0,-0.00022656255157803274,0.0,0.0,1.776964682594181e-05,0.0,0.0,0.0,2.6164650236681416e-05,-0.0005989362589837785,0.0,-0.00018305637159529793,0.0,0.0,0.0,1.5495369630756867e-06,0
96,0.0002854146031291489,0.0,0.0,0.0,0.0,0.0,0.0004641109748050413,0.0,0.0,0.0,0.0002467092008750543,0.0,-0.00021788606318709283,-0.000595659531316454,0.0,-3.565345688323656e-05,0.0,0.0,-0.00039578426861966594,0.0,-1.0521997561948453e-05,-0.00023302816143050523,0.0,0.0,0.0,-0.0005633887810598554,0.0,0.0,-0.0005898352233859971,0.0,-0.0005909062566110356,-0.0002578277222002993,0.0,0.0,-0.00016416007239641672,0.0,0
97,0.0,0.0,0.0,0.0005683836110907883,0.0,0.00010118160781344766,0.0,0.0,0.0,-0.0002919498940176294,0.0,0.00010186682563935211,0.0,0.0,9.139226296420912e-05,0.0,6.366470541373286e-05,-7.255039240622679e-05,0.0,-0.00010170444145082347,0.0,0.0,-0.00011471426447128814,0.0,0.0,-0.00012663820724977126,0.0,-8.257078343802537e-05,0.0,-0.00011659477051353408,0.0,0.0,-7.774623285228275e-05,0.0,-0.00013129728238594595,0.0,0
98,0.0,0.0,0.0,0.0,0.0008993486095201192,0.0004394432178030768,0.0,0.0,0.0,9.748031938969015e-05,0.0,-0.00013053777531192787,0.0,0.0,0.000599747150686811,0.0,-0.00017795830118585285,0.0005255092956981153,0.0,0.0006260844494476374,0.0,0.0,0.0006606126327375283,0.0,0.0,-0.0003110827868031624,0.0,0.00032667399555584873,0.0,0.00047157298132002444,0.0,0.0,0.0006905277450616702,0.0,0.0004210591540622944,0.0,0
99,0.0006088242385726902,0.0,0.0,0.0,0.0,0.0001579956200770108,0.0,0.0,0.0,-6.727263633396632e-05,0.0,4.6018278809833936e-05,0.0,0.0,-5.606475044002286e-05,0.0,0.0010900613306146667,0.0,0.00014467504451676945,-0.00025613956398653115,0.0,-0.00029815618300326363,0.0,0.0,0.0,-2.5822207584102707e-06,0.0,0.0,-0.0006093686418814194,0.00028950635922691365,0.0,7.715884292242746e-05,0.0,0.0,0.0005941053021622726,0.0,0
100,0.0006712850706241861,0.0,0.0,0.0,0.0,0.0,-2.0104835920051768e-05,0.0,0.0,0.0,0.00013885742329231883,0.0,-0.0005660825495973316,0.0006388688042446249,0.0,-0.00017449040593266765,0.0,-0.0004489451584042529,0.0,0.0,0.0002576309578922064,-0.000808202658658719,0.0,0.0,0.0,-5.757704628951617e-05,0.0,-0.00021462219321793387,0.0,0.0,0.0002255832457071317,0.001020973990658865,0.0,0.0,0.0006641660958518868,0.0,0
101,0.0,0.0003372951686472788,0.0,0.0,0.0,-0.0002995907069826179,0.0,0.0,0.0,0.00015269552543932942,0.0,-8.9678734458434e-05,0.0,0.0,-0.0007454672426897398,0.0,-0.00029123363187222415,0.0,0.00017738929265071856,-0.0001330237870686362,0.0,0.0,-0.00033236712145730805,0.0,-0.0007651641234722653,0.0,0.0,0.0,0.0001402942274449001,9.656214147154982e-05,0.0,0.0,0.00012979632202352522,0.0,0.0,0.00011016826835315019,0
102,0.0,0.0,0.0,-0.0010695878916619618,0.0,0.0,0.0004038173462146768,0.0,0.0,0.0,0.0006266864913304084,0.0,0.0001593430290529013,0.0002644978559081961,0.0,0.00045947406014611587,0.0,0.00022693621806950146,0.0,0.0,-5.037893505430877e-06,0.0001762021363144515,0.0,0.0,0.00015461786614780505,0.0,0.0,0.00014196202042165637,0.0,0.0,-0.00035198194524615844,0.0001855670466013012,0.0,0.0,0.0,0.0005615843999838679,0
