,Archive=1,Contact Hospital=0,Contact Hospital=1,Create Questionnaire=1,Decide Claim=1,High Insurance Check=0,High Insurance Check=1,High Medical History=0,High Medical History=1,Low Insurance Check=0,Low Insurance Check=1,Low Medical History=0,Low Medical History=1,Notify by Phone=0,Notify by Phone=1,Notify by Post=0,Notify by Post=1,Notify by e-mail=0,Notify by e-mail=1,Prepare Notification Content=1,Receive Questionnaire Response=0,Receive Questionnaire Response=1,Register=1,Send Notification by Phone=0,Send Notification by Phone=1,Send Notification by Post=0,Send Notification by Post=1,Send Notification by e-mail=0,Send Notification by e-mail=1,Send Questionnaire=1,Skip Questionnaire=0,Skip Questionnaire=1,_Prediction=-
0,0.0,0.0,-0.11902873980022917,0.0,0.0,0.0,-0.1251217921083563,0.0,-0.11864144954849834,-0.13767546321366236,0.0,-0.13032956512375324,0.0,0.0,0.19758127116359037,0.0,-0.13365355835070614,0.000598050151935223,0.0,0.0,0.0,0.28540717902105817,0.0,0.0,0.2026951774205912,0.0,-0.13023414283735402,-0.0036181535478970695,0.0,0.0,0.33275775601911467,0.0,1
1,0.0,-0.1284465726305796,0.0,0.0,0.0,-0.1314754909980804,0.0,-0.132014497382143,0.0,0.0,-0.13489390788504793,0.0,-0.13765064636223795,0.15958042068269684,0.0,-0.11973524940992064,0.0,0.0,-0.007887244249080737,0.0,0.26964257974220124,0.0,0.0,0.17469646790678384,0.0,-0.12628888271063954,0.0,0.0,0.002167382493960545,0.0,0.0,0.35918283391673944,0
2,0.0,-0.13094616963150899,0.0,0.0,0.0,-0.12315898947037814,0.0,-0.13322324796005672,0.0,0.0,-0.13905429007980386,0.0,-0.11718971576736181,0.0,-0.17382363457012956,-0.138827579901116,0.0,-0.014036465963828411,0.0,0.0,0.29294848429605,0.0,0.0,0.0,-0.1813161457178173,-0.1286081939371451,0.0,0.006514477790465882,0.0,0.0,0.0,0.35313295635060876,0
3,0.0,0.0,0.12970407833695644,0.0,0.0,0.0,0.12283651847131168,0.0,0.11486268549418509,0.12519098641220963,0.0,0.12691149848416922,0.0,0.18387335513310948,0.0,0.0,0.1450291533066735,0.0,0.004496129885400822,0.0,0.26668305217146654,0.0,0.0,0.1881967930834462,0.0,0.0,0.1321213983283194,0.0,-0.0179847031818013,0.0,0.0,0.33946357566993074,0
4,0.0,0.0,0.14609124579596394,0.0,0.0,0.0,0.13039621736705215,0.0,0.13847613266294911,0.12545611892099953,0.0,0.13647141289175346,0.0,0.1798447017475501,0.0,0.0,0.13091779139020174,-0.005236426262808139,0.0,0.0,0.0,-0.2654732242499556,0.0,0.18717803459733334,0.0,0.0,0.14134472849811797,0.004851842180898662,0.0,0.0,-0.336662383844104,0.0,0
5,0.0,0.0,0.13201145100157924,0.0,0.0,0.0,0.13571220103800333,0.0,0.13214714330751492,0.11206789101936172,0.0,0.1309478535674313,0.0,0.16758165698229124,0.0,0.0,0.138551449446726,0.0,-0.00799556940565498,0.0,0.2529709046533466,0.0,0.0,0.167004960166012,0.0,0.0,0.12428498591486746,0.0,0.014675641511282471,0.0,0.0,0.3334898292229732,0
6,0.0,-0.1333347358838911,0.0,0.0,0.0,-0.1160109169348463,0.0,-0.12970364418821728,0.0,0.0,-0.1286043489939049,0.0,-0.13822303139351386,0.0,-0.17606106395380422,-0.11377090770550964,0.0,0.00289114608767577,0.0,0.0,0.2799774938675858,0.0,0.0,0.0,-0.17860635542241296,-0.11002060693397248,0.0,0.010840849293044982,0.0,0.0,0.0,0.36753779088225624,0
7,0.0,0.0,0.11285528833655736,0.0,0.0,0.0,0.12795568651703593,0.0,0.12816198825239455,0.1257973470783912,0.0,0.12758833683467194,0.0,0.0,-0.19868536685287688,0.0,0.10680110307224885,0.0,0.0026339299302664504,0.0,0.27096604163525356,0.0,0.0,0.0,-0.20126547612816362,0.0,0.12926606570092622,0.0,-0.0008280041817364767,0.0,0.0,0.34744677105512145,0
8,0.0,0.0,-0.15111222858851872,0.0,0.0,0.0,-0.12042184156626178,0.0,-0.1376838171579878,-0.13366674429551098,0.0,-0.13696488554875005,0.0,0.0,0.19272823153620972,0.0,-0.13784297786548713,0.0,0.0008527835939891228,0.0,0.0,0.2717525708334441,0.0,0.0,0.1932966224153332,0.0,-0.11559317811336352,0.0,-0.0035067008636942535,0.0,0.34120702737130304,0.0,1
9,0.0,-0.11568481712617089,0.0,0.0,0.0,-0.1193321765126571,0.0,-0.12789115504183896,0.0,0.0,-0.13577435148507191,0.0,-0.12365263909613011,0.0,-0.18223106223391392,-0.12271024078874951,0.0,0.0,0.0008623006611612826,0.0,0.3005643907722155,0.0,0.0,0.0,-0.18152218253484678,-0.1295552098413618,0.0,0.0,-0.001335188874266626,0.0,0.0,0.3631493059136165,0
