,Archive=1,Contact Hospital=0,Contact Hospital=1,Create Questionnaire=1,Decide Claim=1,High Insurance Check=0,High Insurance Check=1,High Medical History=0,High Medical History=1,Low Insurance Check=0,Low Insurance Check=1,Low Medical History=0,Low Medical History=1,Notify by Phone=0,Notify by Phone=1,Notify by Post=0,Notify by Post=1,Notify by e-mail=0,Notify by e-mail=1,Prepare Notification Content=1,Receive Questionnaire Response=0,Receive Questionnaire Response=1,Register=1,Send Notification by Phone=0,Send Notification by Phone=1,Send Notification by Post=0,Send Notification by Post=1,Send Notification by e-mail=0,Send Notification by e-mail=1,Send Questionnaire=1,Skip Questionnaire=0,Skip Questionnaire=1,_Prediction=-
0,0.0,0.08380053823057335,0.0,0.0,0.0,0.08337394828685797,0.0,0.08539760019522832,0.0,0.0,0.08865539943477374,0.0,0.08405151974091053,0.0,0.12846699230048192,0.08779474159512358,0.0,-0.0009617743982210171,0.0,0.0,0.0,0.26587425295839606,0.0,0.0,0.1230164638899185,0.07818036967000547,0.0,0.012761323515108286,0.0,0.0,0.3242219463267184,0.0,1
1,0.0,0.0,0.08412958880788418,0.0,0.0,0.0,0.07297436899083705,0.0,0.08817895038408838,0.08117135680233592,0.0,0.08962700373461202,0.0,0.1277050501734154,0.0,0.0,0.07586174767995545,0.0,0.010475242301011376,0.0,0.25706788998027424,0.0,0.0,0.13526630379601937,0.0,0.0,0.0836955588387051,0.0,0.015174643723808657,0.0,0.0,0.30795038777396183,0
2,0.0,0.0,-0.08610795808873022,0.0,0.0,0.0,-0.08425295342057604,0.0,-0.08048573870337025,-0.08893229755166064,0.0,-0.06684416832139868,0.0,0.0,0.13011285120345892,0.0,-0.09331430292625745,0.0,0.006166244439654516,0.0,0.0,0.2644495845402765,0.0,0.0,0.14010937424786138,0.0,-0.07594988413394005,0.0,-0.005531887327385859,0.0,0.31416392578384866,0.0,1
3,0.0,0.0,0.08597738448475578,0.0,0.0,0.0,0.08953748619869908,0.0,0.09178090665372851,0.08531570750453832,0.0,0.08613460076065117,0.0,0.1378652131289372,0.0,0.0,0.07988788918256359,0.0,0.004353178351724861,0.0,0.0,-0.25146461732712005,0.0,0.14221684796818,0.0,0.0,0.09436526673244003,0.0,0.00781124654118723,0.0,-0.3110554068620269,0.0,0
4,0.0,0.09191359566641372,0.0,0.0,0.0,0.08618301260159247,0.0,0.08897703302611323,0.0,0.0,0.08197390408871001,0.0,0.08863384538183279,-0.1244424173374934,0.0,0.09544539678134001,0.0,0.0,0.0010509080079916652,0.0,0.0,0.2633588223209184,0.0,-0.11866172534081532,0.0,0.09136694509208222,0.0,0.0,0.0024917037443270753,0.0,0.3178547283308699,0.0,1
5,0.0,0.0,0.0805258429794747,0.0,0.0,0.0,0.083787164446272,0.0,0.079634395899956,0.08549727116828412,0.0,0.0756749698102806,0.0,0.0,-0.12404793038374995,0.0,0.07388471116001549,-0.002036875473695524,0.0,0.0,0.2522103445729119,0.0,0.0,0.0,-0.12834644000348142,0.0,0.08389078022708188,-0.004837925171966541,0.0,0.0,0.0,0.3182277603221692,0
6,0.0,0.0,0.08549968958395741,0.0,0.0,0.0,0.08597806794249947,0.0,0.0762265506785978,0.07618694032239214,0.0,0.08932017787780361,0.0,0.0,-0.12360904700051993,0.0,0.08946358618599903,0.0,0.012042647773092005,0.0,0.2598116664188201,0.0,0.0,0.0,-0.1244302116855264,0.0,0.08413804124774188,0.0,0.006073983726312619,0.0,0.0,0.3241037548354781,0
7,0.0,0.0,0.0921026085494989,0.0,0.0,0.0,0.08885936713400448,0.0,0.09385900291461952,0.0980403545589825,0.0,0.08963445046859858,0.0,0.14523300909357037,0.0,0.0,0.089810063201156,0.0010211803470385869,0.0,0.0,0.0,-0.2503093438427222,0.0,0.12359777528528451,0.0,0.0,0.07877808158209622,-0.010947072411081525,0.0,0.0,-0.30776593500014426,0.0,0
8,0.0,0.08240173907964436,0.0,0.0,0.0,0.07919275207681148,0.0,0.09201246152405304,0.0,0.0,0.08806818079457866,0.0,0.09386534380332065,-0.11251248045620035,0.0,0.08003135222737236,0.0,0.014278478650867421,0.0,0.0,0.0,0.2642435107850273,0.0,-0.11853862459360538,0.0,0.08392606917503526,0.0,0.007255504036081265,0.0,0.0,0.3146318527729973,0.0,1
9,0.0,0.0,0.08643836313921906,0.0,0.0,0.0,0.09288445539463697,0.0,0.07880500798980662,0.07987432303912988,0.0,0.08892047908082529,0.0,0.0,-0.1268527608702418,0.0,0.08457393889159148,-0.0015450752300846394,0.0,0.0,0.0,-0.2603415964652586,0.0,0.0,-0.13462147274936018,0.0,0.07716638668724797,-0.008735423280406085,0.0,0.0,-0.3146656401500264,0.0,0
