,Archive=1,Contact Hospital=0,Contact Hospital=1,Create Questionnaire=1,Decide Claim=1,High Insurance Check=0,High Insurance Check=1,High Medical History=0,High Medical History=1,Low Insurance Check=0,Low Insurance Check=1,Low Medical History=0,Low Medical History=1,Notify by Phone=0,Notify by Phone=1,Notify by Post=0,Notify by Post=1,Notify by e-mail=0,Notify by e-mail=1,Prepare Notification Content=1,Receive Questionnaire Response=0,Receive Questionnaire Response=1,Register=1,Send Notification by Phone=0,Send Notification by Phone=1,Send Notification by Post=0,Send Notification by Post=1,Send Notification by e-mail=0,Send Notification by e-mail=1,Send Questionnaire=1,Skip Questionnaire=0,Skip Questionnaire=1,pr=t
303,0.0,0.0,-0.11364139767594175,0.0,0.0,0.0,-0.11565064147579923,0.0,-0.13304165563545695,-0.1432635902873005,0.0,-0.1181124851214894,0.0,0.0,0.16471784218289506,0.0,-0.12118281264101789,0.0,-1.7535143058584978e-05,0.0,0.0,0.3081190882194076,0.0,0.0,0.17306912059090965,0.0,-0.11866699479171659,0.0,0.007238106854743164,0.0,0.31370864301743306,0.0,1
304,0.0,0.12385022434906585,0.0,0.0,0.0,0.1242804449939892,0.0,0.11968344215734812,0.0,0.0,0.1251690987745879,0.0,0.10812158555731013,0.0,0.1602885360590849,0.11760211575466241,0.0,-0.013501725135405122,0.0,0.0,0.0,0.32328785304309715,0.0,0.0,0.14659741009780042,0.1228870781057269,0.0,-0.007620303703604183,0.0,0.0,0.3272383998604724,0.0,1
305,0.0,0.0,-0.13368088107059936,0.0,0.0,0.0,-0.1455624402654391,0.0,-0.12397299798685088,-0.12300263656156038,0.0,-0.11702211284836617,0.0,0.0,0.17593684105653531,0.0,-0.13580978728458787,0.0,0.006695941690417454,0.0,0.0,0.3043340531603183,0.0,0.0,0.16680207917039114,0.0,-0.1306471770899325,0.0,0.007672124668816791,0.0,0.31657520498796127,0.0,1
306,0.0,0.14051683862864095,0.0,0.0,0.0,0.1340719363259049,0.0,0.12895426697492215,0.0,0.0,0.132084704221485,0.0,0.12360158436281826,-0.14969326774875863,0.0,0.16049025888924076,0.0,0.0,0.0014465222277329519,0.0,0.0,0.3210715385414944,0.0,-0.16070987522288446,0.0,0.11459849875068413,0.0,0.0,0.008879710789164118,0.0,0.32704298325453435,0.0,1
307,0.0,-0.1317300884940998,0.0,0.0,0.0,-0.13409763418587653,0.0,-0.12356978834329414,0.0,0.0,-0.11624199419346247,0.0,-0.11438179776138416,0.14025217507195678,0.0,-0.13402922534640108,0.0,0.005840615276164427,0.0,0.0,0.323611223821169,0.0,0.0,0.153669829950376,0.0,-0.1266073480697657,0.0,0.020074908828777015,0.0,0.0,0.0,0.3198117476126346,0
308,0.0,0.0,-0.12298807376574863,0.0,0.0,0.0,-0.1235252310954464,0.0,-0.1276078248531386,-0.12296425107277191,0.0,-0.1152556655358125,0.0,0.0,0.1898163864022333,0.0,-0.12420982616042285,-0.002069984248338761,0.0,0.0,0.0,0.31035867202337203,0.0,0.0,0.16494178465089054,0.0,-0.1097120487213148,0.004940599849927431,0.0,0.0,0.3378312060021295,0.0,1
309,0.0,-0.13526021458993773,0.0,0.0,0.0,-0.1181860008022765,0.0,-0.11065143023724426,0.0,0.0,-0.13294593324429385,0.0,-0.1321448674332694,0.1452227757183579,0.0,-0.12136184499206411,0.0,0.0,-8.926418779877517e-05,0.0,0.32498905964457037,0.0,0.0,0.15057144561180863,0.0,-0.12542817602817127,0.0,0.0,-0.00934779394644118,0.0,0.0,0.33450251090671057,0
310,0.0,0.0,0.13085163315033183,0.0,0.0,0.0,0.1227643517055275,0.0,0.10688273538357516,0.12087304993453027,0.0,0.1135298967049283,0.0,0.16342435980022155,0.0,0.0,0.12440929245583342,0.0,-0.011589396848226368,0.0,0.3018301047140538,0.0,0.0,0.15185136715232533,0.0,0.0,0.1380896520059645,0.0,-0.021228203665677105,0.0,0.0,0.3231252495888338,0
311,0.0,0.12083831794163043,0.0,0.0,0.0,0.1407070472510365,0.0,0.13695367549535883,0.0,0.0,0.14758831012802734,0.0,0.1405606820524523,-0.1596723901231468,0.0,0.12013571364740937,0.0,0.0,0.008288401882786785,0.0,0.0,0.3230021319821159,0.0,-0.15701939395773556,0.0,0.12844895259566716,0.0,0.0,-0.0016061251657047693,0.0,0.3156214405121392,0.0,1
312,0.0,0.136272367770555,0.0,0.0,0.0,0.12463941535831899,0.0,0.1139721258604908,0.0,0.0,0.1503293733594066,0.0,0.11831873028826445,-0.13789726486519294,0.0,0.12383959620357465,0.0,-0.0027311288671537357,0.0,0.0,0.0,0.31414082387321957,0.0,-0.14289418379504498,0.0,0.14306284461257637,0.0,-0.0008072970292694468,0.0,0.0,0.3380951179321406,0.0,1
313,0.0,0.0,-0.14677964234794544,0.0,0.0,0.0,-0.1182734922620812,0.0,-0.12373328431751693,-0.13474507971628777,0.0,-0.11544287355250143,0.0,0.0,0.1654277708230358,0.0,-0.13030186484038478,0.0019159748949630858,0.0,0.0,0.0,0.29979482904238186,0.0,0.0,0.16887238449542838,0.0,-0.11452167730376739,-0.009777298799520377,0.0,0.0,0.31269628340975114,0.0,1
314,0.0,0.0,-0.10882408867682604,0.0,0.0,0.0,-0.12776084080444253,0.0,-0.13018988795644526,-0.13924471438102054,0.0,-0.12745274452089114,0.0,0.0,0.18047326028137914,0.0,-0.09824449900088196,-0.0023765659158971122,0.0,0.0,0.0,0.30511976108882144,0.0,0.0,0.1701705154900217,0.0,-0.13487481502953616,-0.02505936998388714,0.0,0.0,0.3189476490776533,0.0,1
315,0.0,0.0,-0.11498386605751057,0.0,0.0,0.0,-0.13164567741622765,0.0,-0.12848445777302847,-0.13400757278768866,0.0,-0.12041168880259603,0.0,0.0,0.17252938109022464,0.0,-0.12679186565574474,0.0,0.0009218910948098432,0.0,0.0,0.30129750831608765,0.0,0.0,0.16811901689836178,0.0,-0.1390877311621529,0.0,0.0015814384021070628,0.0,0.31159301264641487,0.0,1
316,0.0,0.0,0.11525468203239857,0.0,0.0,0.0,0.11573639340248815,0.0,0.12389072427349251,0.12932632619095988,0.0,0.12080949450502462,0.0,0.0,-0.14676698352810758,0.0,0.12266816172039552,-0.00688672349358209,0.0,0.0,0.30491253392779805,0.0,0.0,0.0,-0.15257441376933806,0.0,0.1187099131862316,0.0002819245376805199,0.0,0.0,0.0,0.3202892648857628,0
