,Archive=1,Contact Hospital=0,Contact Hospital=1,Create Questionnaire=1,Decide Claim=1,High Insurance Check=0,High Insurance Check=1,High Medical History=0,High Medical History=1,Low Insurance Check=0,Low Insurance Check=1,Low Medical History=0,Low Medical History=1,Notify by Phone=0,Notify by Phone=1,Notify by Post=0,Notify by Post=1,Notify by e-mail=0,Notify by e-mail=1,Prepare Notification Content=1,Receive Questionnaire Response=0,Receive Questionnaire Response=1,Register=1,Send Notification by Phone=0,Send Notification by Phone=1,Send Notification by Post=0,Send Notification by Post=1,Send Notification by e-mail=0,Send Notification by e-mail=1,Send Questionnaire=1,Skip Questionnaire=0,Skip Questionnaire=1,_Prediction=-
0,0.0,0.0,-0.12284727372890716,0.0,0.0,0.0,-0.13681678446764967,0.0,-0.13174959683129125,-0.13033848001249565,0.0,-0.12243693405792513,0.0,0.0,0.1815455085525162,0.0,-0.12879576020802608,0.0,0.025967502043067987,0.0,0.0,0.3136942196057448,0.0,0.0,0.18003995096421124,0.0,-0.1248403490310723,0.0,-0.001021457809525456,0.0,0.3238966146777539,0.0,1
1,0.0,-0.13111448031626946,0.0,0.0,0.0,-0.11761188833989879,0.0,-0.14636276255351252,0.0,0.0,-0.12137152950169887,0.0,-0.11557366649086295,0.14140039854881395,0.0,-0.1271014299028144,0.0,0.013821342745665178,0.0,0.0,0.3061261532138095,0.0,0.0,0.13352892863909774,0.0,-0.12146034070278489,0.0,-0.0057551290468501985,0.0,0.0,0.0,0.32947375155676756,0
2,0.0,0.0,0.13401745135363705,0.0,0.0,0.0,0.13368102550138605,0.0,0.12669764522940832,0.1189800885490649,0.0,0.14061435677463865,0.0,0.1633563075982973,0.0,0.0,0.10928093752724222,0.013572937197952783,0.0,0.0,0.30714738064278624,0.0,0.0,0.16039482081104386,0.0,0.0,0.12396420804866355,0.008557382404069669,0.0,0.0,0.0,0.31167841674331126,0
3,0.0,0.0,-0.1136608937472254,0.0,0.0,0.0,-0.1278094911562261,0.0,-0.1316192966977279,-0.14193522506890205,0.0,-0.12060451765872317,0.0,0.0,0.1836202133862985,0.0,-0.13586381496591676,-0.01476210241892972,0.0,0.0,0.0,0.30081144775746166,0.0,0.0,0.19107169623375442,0.0,-0.10958880219811808,-0.0108627083632127,0.0,0.0,0.3063371682698597,0.0,1
4,0.0,0.1275971765547183,0.0,0.0,0.0,0.11877385959402746,0.0,0.12116333088787695,0.0,0.0,0.13735974354442,0.0,0.12128896846265232,0.0,0.1300790593534447,0.12870768956060633,0.0,0.0,0.013351604762313552,0.0,0.0,0.3329014201953617,0.0,0.0,0.15469304859385774,0.1227759663117946,0.0,0.0,0.021525652061782537,0.0,0.32648924382072464,0.0,1
5,0.0,0.0,0.10474350364553796,0.0,0.0,0.0,0.1143865762519317,0.0,0.126209966637175,0.11751551535387107,0.0,0.10540598590433845,0.0,0.0,-0.15070192442153355,0.0,0.10515978618617663,0.0,-0.002433125493246986,0.0,0.28502283831060754,0.0,0.0,0.0,-0.15306953440046459,0.0,0.11584262971470585,0.0,-0.008945323665917175,0.0,0.0,0.3352273474968701,0
6,0.0,0.0,0.12637639928616956,0.0,0.0,0.0,0.11824498507992445,0.0,0.1253018330777089,0.1082337404021725,0.0,0.13014359073715645,0.0,0.0,-0.16035823508977476,0.0,0.11402409644238272,0.012474063856557319,0.0,0.0,0.30120666354597453,0.0,0.0,0.0,-0.14991588524185287,0.0,0.10415678018703017,0.008775956338694,0.0,0.0,0.0,0.3162142225996893,0
7,0.0,0.0,0.10606480850518343,0.0,0.0,0.0,0.11019516180618986,0.0,0.10300895438014,0.13056286654132135,0.0,0.11812193474322699,0.0,0.0,-0.1606047598130811,0.0,0.12608464040109996,0.0,-0.0007787046116859432,0.0,0.2965006185629703,0.0,0.0,0.0,-0.16010577149755464,0.0,0.12465332840608585,0.0,-0.011292175542952452,0.0,0.0,0.32967434162990017,0
8,0.0,-0.10699522641218591,0.0,0.0,0.0,-0.12313024480766727,0.0,-0.10632477252365469,0.0,0.0,-0.12757853396267638,0.0,-0.1331452350273223,0.0,-0.15063434385602775,-0.10749580431714915,0.0,0.015919777604131848,0.0,0.0,0.31462907536283513,0.0,0.0,0.0,-0.1562992028522151,-0.10909465098673869,0.0,-0.0010467429918963294,0.0,0.0,0.0,0.3392592327048689,0
9,0.0,0.0,0.12827130582797017,0.0,0.0,0.0,0.12165848524966298,0.0,0.1279836157675094,0.1201639046166016,0.0,0.10635647970168259,0.0,0.0,-0.15914690420552036,0.0,0.10872126116160087,0.0,-0.01834937390955846,0.0,0.28817270360532404,0.0,0.0,0.0,-0.17809325304388374,0.0,0.10875428613294663,0.0,-0.012237453760884889,0.0,0.0,0.3275108233994682,0
