,0.00 < Send Notification by Phone <= 1.00,Low Medical History <= 0.00,0.00 < Send Notification by Post <= 1.00,0.00 < Contact Hospital <= 1.00,0.00 < High Medical History <= 1.00,0.00 < Receive Questionnaire Response <= 1.00,Low Insurance Check <= 0.00,0.00 < High Insurance Check <= 1.00,Skip Questionnaire <= 0.00,0.00 < Send Notification by e-mail <= 1.00,Archive <= 1.00,Prepare Notification Content <= 1.00,Create Questionnaire <= 1.00,Decide claim <= 1.00,Register <= 1.00,Send Questionnaire <= 1.00,Send Notification by Phone <= 0.00,0.00 < Low Medical History <= 1.00,Send Notification by Post <= 0.00,High Insurance Check <= 0.00,High Medical History <= 0.00,Contact Hospital <= 0.00,Receive Questionnaire Response <= 0.00,0.00 < Low Insurance Check <= 1.00,0.00 < Skip Questionnaire <= 1.00,Send Notification by e-mail <= 0.00,prediction
0,-0.14133477478456719,0.05322178863306557,0.046363586678408016,0.03478067141929803,0.034330259327373144,-0.03206029605663545,0.03102418568881674,0.026408441488081354,-0.0141942662884384,0.004599864466011908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15536794433984394,-0.05655039514301869,-0.050493678087095435,-0.04283863195146049,-0.035391523482009676,-0.033210703123330854,0.03127624904949018,-0.030584957828869764,0.00920477799024681,0.002454447415617945,0
2,0.14363410083993616,-0.05730567934090971,-0.05035200163602638,-0.03605268288640617,-0.0358101363655928,0.0,-0.030438159308670516,-0.03635370275719166,0.0,-0.0032199628915338097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03491528031604181,0.0,-0.013743903481241727,0.0,1
3,0.1531246161251142,-0.0594391084105758,-0.048791556372559435,-0.03129424843973226,-0.03803282616006975,0.0,-0.034157818844106076,-0.03368833956222202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03280978705576699,0.0,-0.011862987706919716,0.01049558476935262,1
4,0.0,0.05892896353798456,0.047932922598370994,0.040469847760595146,0.041182494022636525,-0.04110086101686149,0.032273365055913876,0.03815978810732486,-0.015163557672869633,-0.008554368138710296,0.0,0.0,0.0,0.0,0.0,0.0,0.13807909435718665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15595257642311153,-0.054474735078690634,-0.051281387632956546,-0.03299934826847011,-0.03745112518711086,-0.03483493914784363,0.034663517415570014,-0.03680930418983599,0.011965527464091264,0.001192184493196499,0
6,-0.14927546309260134,0.06168517895408128,0.050934123287801246,0.031227778916876867,0.03642437449492735,-0.03056699598218928,0.028752473257530657,0.03420312597022118,-0.017443914355076008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004287059540143792,0
7,0.0,0.056354586434138834,0.04473807789290431,0.034370276435410865,0.036491704314363806,-0.033475843805510073,0.032202955825552396,0.03445890401990486,-0.015657546767601057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14789833034213767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.056487754492357e-05,0
8,0.1412988801471538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009420649338548996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055297813245834423,0.04778872272394186,0.044691728968382596,0.03949135121442791,0.03902713499393783,-0.027899949293740504,0.030668767571836068,-0.010504165029353092,0.0,1
9,0.14144126980419044,0.0,0.0,0.0,0.0,0.03501987369221144,0.0,0.0,0.010464294039307005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057656784552375315,0.048966513649367695,0.04062496575645453,0.039785640469728926,0.03114376904567513,0.0,0.03230879340987425,0.0,0.009404026652013679,1
